hxb_row_no,serial PRIMARY KEY,"primary key",,
hxb_no,INT,primary key in hexaboard table,fk_hxb_insp,hexaboard
hxb_name,TEXT,,fk_identifier,
grade,TEXT,,,
flatness,REAL,,,
avg_thickness,REAL,"in millimeters (mm)",,
max_thickness,REAL,"in millimeters (mm)",,
weight_grams,REAL,,,
comment,TEXT,,,
date_inspect,DATE,,,
time_inspect,TIME,,,
inspector,TEXT,,,
hexplot,BYTEA,,,
x_points,REAL[],"in millimeters (mm)",,
y_points,REAL[],"in millimeters (mm)",,
z_points,REAL[],"in millimeters (mm)",,
iteration,INT,,,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,True if CMSR upload was successful,,
batch_no,INT,,,
